Process_ID,BPR_Implementation,Project_Complexity,Cycle_Time,Total_Cost,Defect_Density,Customer_Satisfaction,Employee_Productivity,Resource_Utilization,Delivery_Time,On_Time_Delivery,Damaged_Packages,Fuel_Consumption,Customer_Complaints,Time,Late_Deliveries,Lost_Packages,Distance_Traveled,Vehicle_Maintenance_Cost,Employee_Turnover_Rate,Training_Hours,City,State,Latitude,Longitude
2020-01-01,Before,Medium,47.67699865274911,148333.90798627236,29.83,3.607151009577865,0.961996188646947,60.79702915613986,5.177107735801605,103.10132175876277,2.844798014207211,1.0450575478737425,3.4759641741096985,2023-01-02,1.0434778411181511,0.0,2500,1134.7634028333684,10.19526473722514,6.827864202435213,Fort Worth,TX,32.7555,-97.3308
2020-01-02,After,High,30.083909550346142,62088.534180854935,12.86,4.572753183246427,1.6818573588754089,106.13928942201164,3.4578578100664963,74.58491283493457,0.6802228223351915,0.7097768009870922,1.7901240502122424,2023-01-03,0.0,0.0,2500,588.2750777049716,2.8045607154570016,12.141204579868154,San Francisco,CA,37.7749,-122.4194
2020-01-03,Before,Low,64.0197377756215,153373.2274361019,20.76,2.9629613974415365,1.0673151604568785,57.14151862310752,3.371476303468035,106.5706439779447,3.1472659547950816,1.306528621300511,2.4036687824118816,2023-01-04,0.9881781408475764,0.0,2000,1875.6715790976048,8.843638397787787,9.575555687912894,El Paso,TX,31.7619,-106.485
2020-01-04,Before,Low,61.750138423123445,91655.66059332644,11.82,3.2099058393247746,0.4563051608919099,48.70591753408563,8.69452833886294,74.25870216305634,3.892782932514678,1.867573256394824,10.377323827983316,2023-01-05,0.0,0.0,3000,3021.042856301356,5.281731388124255,4.412348714789541,New York,NY,40.7128,-74.006
2020-01-05,Before,Low,68.03177151123454,80576.83763302618,22.11,2.711034377516241,0.527106296851841,52.92285318474726,5.671227605160733,86.46001550225408,3.2579871438370387,0.9612178243444676,6.240190171158695,2023-01-06,0.0,0.0,3000,1367.5564845869185,9.846923733695672,8.431628036458362,Houston,TX,29.7604,-95.3698
2020-01-06,After,Low,18.07563191491728,52783.30381576449,10.56,2.3848707160105755,1.1519606689809605,49.182693186933406,1.4952704265053354,73.7544510903091,0.4092915602732606,1.0496725431150686,1.9070786223741023,2023-01-07,0.0,0.0,1000,803.8355148925529,2.09043126168765,12.125608995555092,Memphis,TN,35.1495,-90.049
2020-01-07,Before,Low,18.892462683929168,92611.63443221764,20.11,2.9995338383879853,0.4948942388029302,51.8512685338986,4.056794622528424,63.51932828300031,3.807054869214821,1.6863601505610857,5.531063236616912,2023-01-08,0.0,0.0,2000,2140.436663050514,9.974568096386168,8.563776927260886,Houston,TX,29.7604,-95.3698
2020-01-08,Before,Low,53.33742050558432,99090.21013799816,16.96,2.7860304202727386,0.7119194830959701,31.709583975833223,3.9944940334592447,67.24191106697214,3.914416240841754,1.62672778496098,12.007695960868478,2023-01-09,0.0,0.0,2000,1631.9707553919627,5.122448571357196,6.77821027903457,San Diego,CA,32.7157,-117.1611
2020-01-09,Before,Low,75.34213748558379,48181.2953486262,9.71,2.9549504795246446,0.6496030190721704,56.89618733717317,5.546913217997648,61.125251951593405,3.280323965463303,1.383910121588234,9.32742638724828,2023-01-10,0.0,0.0,2000,1505.1132688237017,11.03079368301984,6.1081307919908205,San Jose,CA,37.3382,-121.8863
2020-01-10,After,Medium,40.82826657256667,43139.71035692856,6.79,3.55592224050403,1.3068000389532788,63.45371890622519,2.915287898692378,99.65757407841684,0.753794594406893,1.3964903565687832,1.0269783144130145,2023-01-11,0.0,0.0,2500,1815.4836510087616,2.345694805885363,11.066351175317433,Washington,DC,38.9072,-77.0369
2020-01-11,Before,High,57.56789183058301,74974.83370460356,19.22,4.580378834542577,0.4933246213946298,87.32940251017506,6.330406436250976,75.25432846737854,3.2024854897574904,1.6810963319412917,10.707314774573812,2023-01-12,0.0,0.0,2500,2642.8188005709617,6.174181349956544,7.367384641526249,El Paso,TX,31.7619,-106.485
2020-01-12,Before,Low,37.58645888888877,81035.45786724564,9.2,3.086827993257548,0.928368077161939,55.34414885332728,3.8807231861448255,77.31586508712797,1.6262548589378027,1.866997624678014,1.0704294059581183,2023-01-13,0.0,0.0,2000,1578.5038064987507,6.72946186818995,8.131979380949694,Denver,CO,39.7392,-104.9903
2020-01-13,Before,Medium,56.03926670715674,184213.72386801065,22.95,3.796472850393176,0.8536552757689533,43.90119729320365,7.973320816797302,64.51545889785078,1.7845420962851517,2.753008323279893,1.4091561742788417,2023-01-14,0.0,0.0,3500,3404.9319133736626,9.89101910617091,7.79758018720641,Phoenix,AZ,33.4484,-112.074
2020-01-14,Before,Medium,48.47321464102984,57103.23201059183,17.44,3.635514524571107,0.5963341063586554,55.18798011382382,6.651766533303045,55.58980451421824,1.3730606948783906,1.030247645656041,3.3932302934807206,2023-01-15,0.0,0.0,3000,2175.760092198987,5.971741976531223,6.370130193951124,Detroit,MI,42.3314,-83.0458
2020-01-15,After,High,13.12800127081612,66497.20570335125,11.62,6.81609452449529,0.8840422688373251,96.07973894306552,1.2497929791697415,76.01601687767612,0.4092698948120419,0.9315198499466412,1.627634483397074,2023-01-16,0.0,0.0,1000,328.57152193937486,2.3396715241257557,10.27698534788918,San Antonio,TX,29.4241,-98.4936
2020-01-16,Before,Low,32.11258080658757,94117.43529900744,21.21,2.355554119800953,1.0460877867307234,46.840042872737534,6.245460035682881,57.63319586714218,2.486376759280141,0.8128829112531554,8.456996022896805,2023-01-17,0.0,0.0,2500,1266.2573795140029,10.784233071248332,8.420633113748005,Oklahoma City,OK,35.4676,-97.5164
